user_id,item_id
227556575,716271
227544907,152365
227529365,10060254
227549079,387335
227556496,30717650
227544784,30726670
227519607,391830
227535273,391201
227529338,1211626
227540588,30867073
227540483,30867238
227540483,30865658
227556432,460612
227544784,1082107
227538254,30867401
227489964,401371
227545099,424325
227535273,1193605
227552938,1138510
227535279,30713617
227529223,72713
227540588,30863559
227535340,30865631
227528395,345269
227540483,30864237
227540483,30864802
227547431,1082594
227551911,183263
227556347,24228
227544784,960616
227534373,144581
227523779,120500
227538254,30864064
227489612,909038
227540780,1043986
227529662,20051639
227545078,1222066
227535273,30356757
227529723,30864429
227538452,10027752
227552911,110181
227535273,30786376
227531088,10105528
227546288,131087
227529166,30869658
227540569,20073289
227533099,1281833
227543729,10005032
227535340,996092
227528388,30163544
227538170,30870116
227550758,30845775
227540483,304676
227540483,30863641
227540483,30867349
227557814,30857224
227547121,30868517
227551881,30837481
227551212,606004
227558550,30717453
227556082,162795
227544784,469026
227531739,981857
227555879,10111321
227534368,30715446
227525595,30376704
227535610,30868517
227523775,30866695
227538254,1156128
227531056,829440
227522286,30861612
227532476,104827
227540780,10061354
227528681,370879
227525857,30866626
227529641,30725104
227544927,30866264
227533309,20084554
227528573,382462
227535273,30818542
227529714,330631
227506136,132372
227551434,453475
227534373,30719557
227552770,30854057
227540483,30865625
227530635,446210
227535273,10060498
227531056,30868418
227536307,30857966
227534331,1263595
227546261,30451268
227529160,30153199
227547676,1244174
227531178,30561068
227540521,1133954
227532954,10011482
227525298,1251419
227538450,1078564
227543713,34875
227535340,30866223
227526968,30585928
227540483,1264232
227546389,10063922
227538118,835202
227529584,469026
227542403,1138510
227550733,10058825
227543421,483652
227552023,30868182
227539931,30867985
227540483,30870605
227540483,20076296
227540979,1251419
227546488,10110251
227557661,30865208
227548209,693616
227546236,30792361
227549088,30865222
227551743,453024
227545908,30082800
227537886,27571
227553981,30865515
227558490,20042298
227556057,30722664
227540681,10081109
227553137,30719557
227544784,122301
227531056,30869137
227549706,1032195
227531739,457841
227555877,30596809
227510768,4244
227523779,221014
227534368,366350
227525589,959122
227534809,20047567
227527057,30795682
227535550,30867746
227523586,30346545
227522938,30864575
227482664,587988
227538254,30863546
227531056,30867975
227506139,556021
227531739,30722147
227522250,10065683
227526660,1093421
227540483,30865982
227527522,20103463
227540780,399415
227528547,592400
227541708,122301
227531056,30865964
227525814,10063922
227531660,30495208
227544303,30572348
227530652,1251419
227527832,30849716
227533236,10066230
227526412,1031734
227535054,30864237
227528560,1300482
227533465,30143199
227548362,30867238
227536360,439401
227523964,30867023
227534368,30843233
227550095,30864237
227509661,30855813
227551434,30359224
227534368,254384
227531056,1240570
227539633,30866485
227552662,10056197
227540483,30680332
227532188,27571
227540780,680615
227530618,434093
227535273,30771091
227531056,30864734
227535273,469809
227531056,30864691
227536307,10014434
227531636,453634
227544784,705872
227534222,30869682
227546197,185267
227532929,30868548
227538829,125124
227529122,708745
227547594,1204033
227530804,706130
227540157,30245639
227531099,30870961
227540483,30867999
227535340,30081223
227550464,20002678
227532879,447393
227551471,30867073
227534373,341175
227525524,30723635
227538254,30868517
227543692,30859975
227538646,20089278
227556202,156182
227535340,1264232
227526850,954646
227539931,30869658
227527625,436139
227540483,30194199
227537010,30867253
227540780,10058398
227547594,403949
227538061,447393
227529574,30867274
227539065,1082640
227538631,30844835
227542399,269288
227550726,30860696
227539931,30864742
227531056,30867365
227543156,372636
227551911,20100442
227543713,30857474
227553137,20045160
227539931,27695
227540483,30866945
227542746,10075299
227540681,10081109
227540483,30869434
227540979,30865625
227543692,10094715
227533433,453024
227546434,30337984
227557497,993850
227542081,959122
227534368,30724202
227547995,189632
227546214,1150392
227549320,30415348
227535142,172565
227548897,453024
227551663,30844035
227544784,19510
227552770,30865212
227545872,30220991
227537853,30857375
227553887,30082800
227538254,30843231
227553922,30840578
227558356,30771091
227554557,30719557
227540483,1031734
227558725,10037569
227540674,469026
227550290,10076157
227541781,959888
227553137,30719557
227544688,1053117
227555939,30850955
227547327,140853
227504667,10070169
227549524,30813768
227531056,30864742
227552924,10048144
227510768,1308758
227555877,10053346
227531739,30858961
227559125,30359224
227532726,423540
227529405,10037334
227510768,30867073
227523779,1188603
227533432,353996
227524771,1296805
227534368,1251419
227525589,10062676
227517706,1311498
227526561,1058641
227534809,10041373
227527026,281106
227535298,66459
227528404,452254
227517706,144252
227522640,30744985
227536424,10113652
227529405,30852342
227537318,30866223
227481267,972649
227503633,22457
227485880,30869478
227538254,30865658
227531056,10070911
227524288,444502
227525408,30116722
227506050,141182
227531739,30112479
227521331,40500
227525892,10009885
227521856,27571
227526400,28877
227540483,30866264
227526790,21295
227524802,30716315
227527505,424150
227540536,30673220
227534005,670987
227540780,452870
227528547,140392
227540979,30837606
227530510,1160963
227541484,10060842
227531056,30865581
227542425,149125
227531099,30867251
227525790,20074842
227531612,271378
227517679,30115901
227531739,715228
227544215,10028953
227530652,10061000
227519405,10108722
227500031,30863588
227527820,30596809
227533182,30862497
227545360,30864367
227531056,30719958
227526370,30866626
227535029,1150915
227520707,1204033
227531739,977357
227528547,163438
227533443,30863567
227547845,1031734
227533617,10083421
227548357,30868548
227503633,977357
227523230,30349864
227533140,956634
227523809,30864064
227534368,164886
227549320,30867300
227534475,10048144
227550002,144581
227509467,10065279
227529029,387335
227538254,30865631
227551396,4244
227534368,366338
227529405,30101759
227510768,30866223
227531056,10085310
227539428,10014040
227531099,30866129
227540231,30850205
227552626,10025132
227540483,123318
227525366,10111862
227540588,30863950
227532070,30771091
227540780,4244
227554485,1173443
227541430,24587
227530577,10037165
227542283,10041373
227533432,1200588
227542399,269288
227531034,30797840
227535273,10085811
227557048,10024838
227535340,30868503
227531056,650411
227536307,439401
227525992,1138510
227536677,271506
227531636,1315468
227544780,1226666
227531830,30864449
227537318,30864720
227534152,30867074
227546144,1110341
227527470,122250
227538254,971394
227532879,183263
227538829,1306554
227533620,177594
227524080,985767
227529122,20044554
227547579,134295
227534368,1076877
227539931,30867985
227530767,145020
227540157,470323
